Category,OECD
6/1/74 0:00,99.16513
7/1/74 0:00,98.93156
8/1/74 0:00,98.70252
9/1/74 0:00,98.49648
10/1/74 0:00,98.33415
11/1/74 0:00,98.26022
12/1/74 0:00,98.27732
1/1/75 0:00,98.4156
2/1/75 0:00,98.66225
3/1/75 0:00,98.95061
4/1/75 0:00,99.21163
5/1/75 0:00,99.38422
6/1/75 0:00,99.48846
7/1/75 0:00,99.56932
8/1/75 0:00,99.62453
9/1/75 0:00,99.69224
10/1/75 0:00,99.84059
11/1/75 0:00,100.1133
12/1/75 0:00,100.4579
1/1/76 0:00,100.7655
2/1/76 0:00,100.9225
3/1/76 0:00,100.9784
4/1/76 0:00,101.012
5/1/76 0:00,101.0657
6/1/76 0:00,101.0999
7/1/76 0:00,101.075
8/1/76 0:00,100.9781
9/1/76 0:00,100.854
10/1/76 0:00,100.7656
11/1/76 0:00,100.773
12/1/76 0:00,100.8477
1/1/77 0:00,100.9408
2/1/77 0:00,100.9857
3/1/77 0:00,100.9647
4/1/77 0:00,100.9067
5/1/77 0:00,100.8791
6/1/77 0:00,100.9417
7/1/77 0:00,101.0597
8/1/77 0:00,101.1735
9/1/77 0:00,101.2796
10/1/77 0:00,101.3848
11/1/77 0:00,101.4718
12/1/77 0:00,101.5466
1/1/78 0:00,101.5888
2/1/78 0:00,101.5739
3/1/78 0:00,101.5156
4/1/78 0:00,101.515
5/1/78 0:00,101.5428
6/1/78 0:00,101.55
7/1/78 0:00,101.5651
8/1/78 0:00,101.5487
9/1/78 0:00,101.5343
10/1/78 0:00,101.4081
11/1/78 0:00,101.1476
12/1/78 0:00,100.879
1/1/79 0:00,100.7868
2/1/79 0:00,100.7688
3/1/79 0:00,100.7068
4/1/79 0:00,100.6273
5/1/79 0:00,100.5251
6/1/79 0:00,100.3334
7/1/79 0:00,100.1293
8/1/79 0:00,100.0183
9/1/79 0:00,99.90708
10/1/79 0:00,99.72863
11/1/79 0:00,99.56174
12/1/79 0:00,99.39895
1/1/80 0:00,99.24806
2/1/80 0:00,99.02075
3/1/80 0:00,98.70576
4/1/80 0:00,98.49976
5/1/80 0:00,98.47876
6/1/80 0:00,98.62378
7/1/80 0:00,98.85192
8/1/80 0:00,99.13673
9/1/80 0:00,99.36182
10/1/80 0:00,99.42387
11/1/80 0:00,99.29297
12/1/80 0:00,99.05514
1/1/81 0:00,98.92838
2/1/81 0:00,98.79504
3/1/81 0:00,98.74158
4/1/81 0:00,98.81833
5/1/81 0:00,98.91753
6/1/81 0:00,98.90216
7/1/81 0:00,98.85802
8/1/81 0:00,98.80049
9/1/81 0:00,98.69484
10/1/81 0:00,98.54767
11/1/81 0:00,98.45073
12/1/81 0:00,98.5225
1/1/82 0:00,98.69807
2/1/82 0:00,98.76427
3/1/82 0:00,98.81396
4/1/82 0:00,98.92072
5/1/82 0:00,98.97076
6/1/82 0:00,98.90754
7/1/82 0:00,98.78045
8/1/82 0:00,98.71404
9/1/82 0:00,98.7311
10/1/82 0:00,98.79728
11/1/82 0:00,98.85162
12/1/82 0:00,98.92944
1/1/83 0:00,99.1213
