,Consumer Confidence Index (CCI): sa
Region,United States
Subnational,
Frequency,Monthly
Unit,1985=100
Source,The Conference Board
Status,Active
Series ID,41044301 (UHEA)
SR Code,SR148178
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,02/1967
Last Obs. Date,10/2024
Last Update Time,29/10/2024
Series remarks,[COVID-19-IMPACT]
Suggestions,
Mean,95.81870047543569
Variance,583.6997767212544
Standard Deviation,24.15987948482472
Skewness,-0.2543204701834817
Kurtosis,-0.43918187374541606
Coefficient Variation,0.25214158995005787
Min,25.3
Max,144.7
Median,98.3
Sum,60461.59999999996
Subtract,-119.39999999999999
No. of Obs,631
02/1967,134.3
04/1967,140.7
06/1967,134
08/1967,130.1
10/1967,134.5
12/1967,136.1
02/1968,137.9
04/1968,136.6
06/1968,130.7
08/1968,131.3
10/1968,142.3
12/1968,137.9
02/1969,138.2
04/1969,136.6
06/1969,137.9
08/1969,131.7
10/1969,126.8
12/1969,126
02/1970,101.7
04/1970,98
06/1970,88.1
08/1970,91
10/1970,83.2
12/1970,75.7
02/1971,77.4
04/1971,75.2
06/1971,82.3
08/1971,82.1
10/1971,80.3
12/1971,85
02/1972,93.6
04/1972,95.1
06/1972,98.9
08/1972,104.1
10/1972,112
12/1972,116.1
02/1973,110.8
04/1973,102.8
06/1973,104.4
08/1973,93.8
10/1973,107.5
12/1973,70.6
02/1974,62.7
04/1974,95.1
06/1974,92.5
08/1974,77.3
10/1974,54.5
12/1974,43.2
02/1975,54.5
04/1975,66.4
06/1975,72.2
08/1975,82.4
10/1975,77.6
12/1975,93.7
02/1976,101
04/1976,89.5
06/1976,94.5
08/1976,94.6
10/1976,87.1
12/1976,98.9
02/1977,97.6
04/1977,93.1
06/1977,98.2
07/1977,97.5
08/1977,98.7
09/1977,96.7
10/1977,95.5
11/1977,98.9
12/1977,109.7
01/1978,107.8
02/1978,107
03/1978,104.7
04/1978,109.9
05/1978,105.5
06/1978,109.5
07/1978,105.4
08/1978,108
09/1978,106.6
10/1978,108.6
11/1978,96.5
12/1978,102.2
01/1979,99.5
02/1979,101.5
03/1979,96.4
04/1979,94.6
05/1979,96
06/1979,92.7
07/1979,81.4
08/1979,79.4
09/1979,87.8
10/1979,92.3
11/1979,90.2
12/1979,90.7
01/1980,85.9
02/1980,85.3
03/1980,80.8
04/1980,60.5
05/1980,50.1
06/1980,56.1
07/1980,65.4
08/1980,70.8
09/1980,80.3
10/1980,84.2
11/1980,87.2
12/1980,78.6
01/1981,74.4
02/1981,69
03/1981,77.8
04/1981,81.6
05/1981,86.9
06/1981,83
07/1981,83.5
08/1981,85.7
09/1981,77.6
10/1981,75.6
11/1981,66.9
12/1981,66.6
01/1982,64.9
02/1982,62.3
03/1982,56.7
04/1982,57
05/1982,61.4
06/1982,56.7
07/1982,63.2
08/1982,56.9
09/1982,58.1
10/1982,54.3
11/1982,57.4
12/1982,59.5
01/1983,59
02/1983,67.6
03/1983,79.4
04/1983,83.1
05/1983,87.7
06/1983,87.5
07/1983,89
08/1983,91.2
09/1983,91.1
10/1983,92.1
11/1983,96.7
12/1983,103.6
01/1984,103.9
02/1984,101
03/1984,101.1
04/1984,106.1
05/1984,104.8
06/1984,105.8
07/1984,100.4
08/1984,103.1
09/1984,100
10/1984,99.1
11/1984,105.5
12/1984,97
01/1985,102
02/1985,103.1
03/1985,96.1
04/1985,104.4
05/1985,99.6
06/1985,102.6
07/1985,103.2
08/1985,100.9
09/1985,96
10/1985,96.1
11/1985,98.1
12/1985,98.2
01/1986,96.9
02/1986,96
03/1986,95.1
04/1986,100
05/1986,100.2
06/1986,100
07/1986,97.5
08/1986,91.7
09/1986,89.7
10/1986,85.8
11/1986,89.7
12/1986,93.2
01/1987,85.4
02/1987,91.8
03/1987,95.8
04/1987,97.4
05/1987,103
06/1987,102.1
07/1987,105.8
08/1987,110.7
09/1987,115.7
10/1987,115.1
11/1987,100.8
12/1987,107.7
01/1988,109.9
02/1988,114.9
03/1988,112.7
04/1988,115.7
05/1988,120.2
06/1988,115.7
07/1988,113.5
08/1988,119.7
09/1988,110.7
10/1988,116.9
11/1988,112.9
12/1988,119.4
01/1989,115.8
02/1989,120.7
03/1989,117.4
04/1989,116.6
05/1989,116.7
06/1989,117.2
07/1989,120.4
08/1989,115.4
09/1989,116.3
10/1989,117
11/1989,115.1
12/1989,113
01/1990,106.5
02/1990,106.7
03/1990,110.6
04/1990,107.3
05/1990,107.3
06/1990,102.4
07/1990,101.7
08/1990,84.7
09/1990,85.6
10/1990,62.6
11/1990,61.7
12/1990,61.2
01/1991,55.1
02/1991,59.4
03/1991,81.1
04/1991,79.4
05/1991,76.4
06/1991,78
07/1991,77.7
08/1991,76.1
09/1991,72.9
10/1991,60.1
11/1991,52.7
12/1991,52.5
01/1992,50.2
02/1992,47.3
03/1992,56.5
04/1992,65.1
05/1992,71.9
06/1992,72.6
07/1992,61.2
08/1992,59
09/1992,57.3
10/1992,54.6
11/1992,65.6
12/1992,78.1
01/1993,76.7
02/1993,68.5
03/1993,63.2
04/1993,67.6
05/1993,61.9
06/1993,58.6
07/1993,59.2
08/1993,59.3
09/1993,63.8
10/1993,60.5
11/1993,71.9
12/1993,79.8
01/1994,82.6
02/1994,79.9
03/1994,86.7
04/1994,92.1
05/1994,88.9
06/1994,92.5
07/1994,91.3
08/1994,90.4
09/1994,89.5
10/1994,89.1
11/1994,100.4
12/1994,103.4
01/1995,101.4
02/1995,99.4
03/1995,100.2
04/1995,104.6
05/1995,102
06/1995,94.6
07/1995,101.4
08/1995,102.4
09/1995,97.3
10/1995,96.3
11/1995,101.6
12/1995,99.2
01/1996,88.4
02/1996,98
03/1996,98.4
04/1996,104.8
05/1996,103.5
06/1996,100.1
07/1996,107
08/1996,112
09/1996,111.8
10/1996,107.3
11/1996,109.5
12/1996,114.2
01/1997,118.7
02/1997,118.9
03/1997,118.5
04/1997,118.5
05/1997,127.9
06/1997,129.9
07/1997,126.3
08/1997,127.6
09/1997,130.2
10/1997,123.4
11/1997,128.1
