Date,CCI
1967-02-01,134.3
1967-04-01,140.7
1967-06-01,134
1967-08-01,130.1
1967-10-01,134.5
1967-12-01,136.1
1968-02-01,137.9
1968-04-01,136.6
1968-06-01,130.7
1968-08-01,131.3
1968-10-01,142.3
1968-12-01,137.9
1969-02-01,138.2
1969-04-01,136.6
1969-06-01,137.9
1969-08-01,131.7
1969-10-01,126.8
1969-12-01,126
1970-02-01,101.7
1970-04-01,98
1970-06-01,88.1
1970-08-01,91
1970-10-01,83.2
1970-12-01,75.7
1971-02-01,77.4
1971-04-01,75.2
1971-06-01,82.3
1971-08-01,82.1
1971-10-01,80.3
1971-12-01,85
1972-02-01,93.6
1972-04-01,95.1
1972-06-01,98.9
1972-08-01,104.1
1972-10-01,112
1972-12-01,116.1
1973-02-01,110.8
1973-04-01,102.8
1973-06-01,104.4
1973-08-01,93.8
1973-10-01,107.5
1973-12-01,70.6
1974-02-01,62.7
1974-04-01,95.1
1974-06-01,92.5
1974-08-01,77.3
1974-10-01,54.5
1974-12-01,43.2
1975-02-01,54.5
1975-04-01,66.4
1975-06-01,72.2
1975-08-01,82.4
1975-10-01,77.6
1975-12-01,93.7
1976-02-01,101
1976-04-01,89.5
1976-06-01,94.5
1976-08-01,94.6
1976-10-01,87.1
1976-12-01,98.9
1977-02-01,97.6
1977-04-01,93.1
1977-06-01,98.2
1977-07-01,97.5
1977-08-01,98.7
1977-09-01,96.7
1977-10-01,95.5
1977-11-01,98.9
1977-12-01,109.7
1978-01-01,107.8
1978-02-01,107
1978-03-01,104.7
1978-04-01,109.9
1978-05-01,105.5
1978-06-01,109.5
1978-07-01,105.4
1978-08-01,108
1978-09-01,106.6
1978-10-01,108.6
1978-11-01,96.5
1978-12-01,102.2
1979-01-01,99.5
1979-02-01,101.5
1979-03-01,96.4
1979-04-01,94.6
1979-05-01,96
1979-06-01,92.7
1979-07-01,81.4
1979-08-01,79.4
1979-09-01,87.8
1979-10-01,92.3
1979-11-01,90.2
1979-12-01,90.7
1980-01-01,85.9
1980-02-01,85.3
1980-03-01,80.8
1980-04-01,60.5
1980-05-01,50.1
1980-06-01,56.1
1980-07-01,65.4
1980-08-01,70.8
1980-09-01,80.3
1980-10-01,84.2
1980-11-01,87.2
1980-12-01,78.6
1981-01-01,74.4
1981-02-01,69
1981-03-01,77.8
1981-04-01,81.6
1981-05-01,86.9
1981-06-01,83
1981-07-01,83.5
1981-08-01,85.7
1981-09-01,77.6
1981-10-01,75.6
1981-11-01,66.9
1981-12-01,66.6
1982-01-01,64.9
1982-02-01,62.3
1982-03-01,56.7
1982-04-01,57
1982-05-01,61.4
1982-06-01,56.7
1982-07-01,63.2
1982-08-01,56.9
1982-09-01,58.1
1982-10-01,54.3
1982-11-01,57.4
1982-12-01,59.5
1983-01-01,59
1983-02-01,67.6
1983-03-01,79.4
1983-04-01,83.1
1983-05-01,87.7
1983-06-01,87.5
1983-07-01,89
1983-08-01,91.2
1983-09-01,91.1
1983-10-01,92.1
1983-11-01,96.7
1983-12-01,103.6
1984-01-01,103.9
1984-02-01,101
1984-03-01,101.1
1984-04-01,106.1
1984-05-01,104.8
1984-06-01,105.8
1984-07-01,100.4
1984-08-01,103.1
1984-09-01,100
1984-10-01,99.1
