DATE,GDP
2008-01-01,14706.538
2008-04-01,14865.701
2008-07-01,14898.999
2008-10-01,14608.209
2009-01-01,14430.902
2009-04-01,14381.236
2009-07-01,14448.882
2009-10-01,14651.249
2010-01-01,14764.61
2010-04-01,14980.193
2010-07-01,15141.607
2010-10-01,15309.474
2011-01-01,15351.448
2011-04-01,15557.539
2011-07-01,15647.68
2011-10-01,15842.259
2012-01-01,16068.805
2012-04-01,16207.115
2012-07-01,16319.541
2012-10-01,16420.419
2013-01-01,16648.189
2013-04-01,16728.687
2013-07-01,16953.838
2013-10-01,17192.019
2014-01-01,17197.738
2014-04-01,17518.508
2014-07-01,17804.228
2014-10-01,17912.079
2015-01-01,18063.529
2015-04-01,18279.784
2015-07-01,18401.626
2015-10-01,18435.137
2016-01-01,18525.933
2016-04-01,18711.702
2016-07-01,18892.639
2016-10-01,19089.379
2017-01-01,19280.084
2017-04-01,19438.643
2017-07-01,19692.595
2017-10-01,20037.088
2018-01-01,20328.553
2018-04-01,20580.912
2018-07-01,20798.73
2018-10-01,20917.867
2019-01-01,21111.6
2019-04-01,21397.938
2019-07-01,21717.171
2019-10-01,21933.217
2020-01-01,21727.657
2020-04-01,19935.444
2020-07-01,21684.551
2020-10-01,22068.767
2021-01-01,22656.793
2021-04-01,23368.861
2021-07-01,23921.991
2021-10-01,24777.038
2022-01-01,25215.491
2022-04-01,25805.791
2022-07-01,26272.011
2022-10-01,26734.277
2023-01-01,27164.359
2023-04-01,27453.815
2023-07-01,27967.697
2023-10-01,28296.967
2024-01-01,28624.069
2024-04-01,29016.714
2024-07-01,29349.924
