DATE,T10YIE
2019-11-05,1.68
2019-11-06,1.66
2019-11-07,1.69
2019-11-08,1.71
2019-11-11,.
2019-11-12,1.7
2019-11-13,1.66
2019-11-14,1.62
2019-11-15,1.63
2019-11-18,1.63
2019-11-19,1.63
2019-11-20,1.6
2019-11-21,1.63
2019-11-22,1.62
2019-11-25,1.62
2019-11-26,1.62
2019-11-27,1.63
2019-11-28,.
2019-11-29,1.61
2019-12-02,1.65
2019-12-03,1.63
2019-12-04,1.66
2019-12-05,1.67
2019-12-06,1.69
2019-12-09,1.69
2019-12-10,1.71
2019-12-11,1.69
2019-12-12,1.72
2019-12-13,1.7
2019-12-16,1.73
2019-12-17,1.75
2019-12-18,1.76
2019-12-19,1.77
2019-12-20,1.77
2019-12-23,1.75
2019-12-24,1.75
2019-12-25,.
2019-12-26,1.74
2019-12-27,1.73
2019-12-30,1.75
2019-12-31,1.77
2020-01-01,.
2020-01-02,1.8
2020-01-03,1.77
2020-01-06,1.75
2020-01-07,1.74
2020-01-08,1.75
2020-01-09,1.74
2020-01-10,1.76
2020-01-13,1.77
2020-01-14,1.77
2020-01-15,1.75
2020-01-16,1.74
2020-01-17,1.75
2020-01-20,.
2020-01-21,1.74
2020-01-22,1.72
2020-01-23,1.7
2020-01-24,1.68
2020-01-27,1.63
2020-01-28,1.65
2020-01-29,1.64
2020-01-30,1.64
2020-01-31,1.65
2020-02-03,1.63
2020-02-04,1.64
2020-02-05,1.66
2020-02-06,1.67
2020-02-07,1.66
2020-02-10,1.66
2020-02-11,1.65
2020-02-12,1.66
2020-02-13,1.67
2020-02-14,1.66
2020-02-17,.
2020-02-18,1.65
2020-02-19,1.65
2020-02-20,1.63
2020-02-21,1.61
2020-02-24,1.59
2020-02-25,1.53
2020-02-26,1.54
2020-02-27,1.53
2020-02-28,1.41
2020-03-02,1.41
2020-03-03,1.45
2020-03-04,1.46
2020-03-05,1.4
2020-03-06,1.31
2020-03-09,0.99
2020-03-10,1.0
2020-03-11,0.96
2020-03-12,0.92
2020-03-13,0.9
2020-03-16,0.73
2020-03-17,0.63
2020-03-18,0.63
2020-03-19,0.5
2020-03-20,0.75
2020-03-23,0.8
2020-03-24,0.97
2020-03-25,1.07
