Country Code,IMF Country Code,Country,Indicator Type,Series Name,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,,,,,,,,,,,,,,,,,,,,,,,,
ABW,314,Aruba,Rate,GDP deflator Index growth rate,6.5,-5.1,-2.3,25.3,1.4,-5.1,4.9,-3.8,2.3,-1.2,27.5,23.0,0.0,0.9,16.4,-3.3,29.2,44.2,33.8,39.8,41.8,25.2,39.8,75.3,74.3,1348.2,3.2,3.7,6.7,2.1,1.1,5.6,4.5,2.1,2.2,3.3,2.9,5.7,4.8,2.7,-1.0,3.0,0.8,-2.3,1.8,2.0,-1.8,-1.5,4.0,2.1,-1.3,2.2,2.2,5.5,,,,,,,,,,,,,,,,,,,,,,,,
AFG,512,Afghanistan,Rate,GDP deflator Index growth rate,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.2,11.2,10.7,7.6,9.1,16.6,-2.7,8.1,10.3,8.5,2.2,3.1,2.7,-2.4,2.4,2.1,6.5,5.3,0.5,5.5,,,,,,,,,,,,,,,,,,,,,,,,,
AGO,614,Angola,Rate,GDP deflator Index growth rate,,,,,,,,,,,,-2.1,0.0,0.0,0.0,19.0,-9.0,9.8,2.2,16.3,14.0,94.6,370.4,590.9,1983.5,1906.5,5369.9,95.5,39.4,557.5,418.0,106.4,142.8,93.9,33.4,42.4,17.1,4.3,19.4,-16.8,31.7,31.8,7.3,2.8,3.6,-3.5,21.8,22.6,33.8,22.9,15.0,33.6,41.4,13.4,,,,,,,,,,,,,,,,,,,,,,,,
ALB,914,Albania,Rate,GDP deflator Index growth rate,,,,,,,,,,,,-2.1,0.1,-0.1,-3.2,3.7,-2.3,0.0,0.0,0.0,0.0,35.5,249.7,114.8,37.0,9.8,14.6,11.2,6.7,2.1,5.6,3.8,3.6,5.2,3.2,3.3,2.5,4.4,4.1,2.4,4.5,2.3,1.0,0.3,1.5,0.6,-0.6,1.5,1.4,0.4,1.4,5.9,9.7,5.2,,,,,,,,,,,,,,,,,,,,,,,,
AND,,Andorra,Rate,GDP deflator Index growth rate,,7.8,8.5,11.8,15.9,16.8,16.5,23.4,20.6,16.9,13.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,4.9,,,,,,,,,,,,,,,,,,,,,,,,
ARE,466,United Arab Emirates,Rate,GDP deflator Index growth rate,,,,,,,11.8,5.3,-3.7,7.1,9.5,2.1,0.2,-3.3,-5.1,0.7,-1.8,4.3,4.4,-0.3,4.3,-0.6,1.6,2.4,0.1,3.9,5.9,-1.1,-4.4,8.8,11.6,-1.8,3.7,4.1,8.5,16.5,12.0,12.5,18.5,-15.2,12.5,13.2,2.2,-0.9,-0.9,-15.5,-3.3,5.5,8.2,-1.9,-10.6,14.3,14.3,-2.6,,,,,,,,,,,,,,,,,,,,,,,,
ARG,213,Argentina,Rate,GDP deflator Index growth rate,,41.8,56.0,56.6,25.1,206.9,409.6,169.6,163.7,150.8,102.0,106.5,201.9,383.1,608.1,620.8,75.7,127.9,385.5,3041.9,2052.7,137.5,13.6,-1.8,2.9,3.3,-0.1,-0.5,-1.7,-1.8,1.1,-1.1,30.0,10.8,9.2,10.3,13.7,14.9,23.2,15.4,20.9,23.7,22.3,23.9,40.3,26.6,41.1,26.0,40.0,50.6,39.8,54.2,41.1,112.3,,,,,,,,,,,,,,,,,,,,,,,,
ARM,911,Armenia,Rate,GDP deflator Index growth rate,,,,,,,,,,,,,,,,,,,,,,,,1455.2,4455.7,158.4,20.4,17.7,11.8,0.2,-1.3,4.2,0.9,4.5,6.3,3.0,4.6,4.2,5.9,2.6,7.8,4.3,5.4,3.3,2.3,1.2,0.3,2.1,2.8,1.5,1.8,6.9,6.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,
ATG,311,Antigua and Barbuda,Rate,GDP deflator Index growth rate,13.1,15.9,22.0,32.1,37.5,49.9,68.5,13.7,8.6,14.8,11.4,8.4,11.3,5.2,3.8,7.4,8.1,8.9,12.4,4.6,1.6,2.6,2.5,1.8,3.2,2.4,3.0,1.8,2.1,1.5,1.6,1.5,0.7,-1.0,1.6,4.5,0.4,3.7,4.4,1.8,1.5,1.0,2.0,-0.9,1.9,3.0,1.9,-0.9,2.3,0.2,1.1,2.0,2.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,
AUS,193,Australia,Rate,GDP deflator Index growth rate,3.9,6.4,7.2,13.2,17.5,13.9,13.1,9.7,8.2,9.7,9.8,10.1,12.1,8.7,6.0,5.3,6.1,7.2,9.1,7.6,5.0,1.4,1.3,1.1,1.2,2.9,1.8,1.1,1.0,0.8,4.4,3.5,3.0,3.2,3.5,4.6,5.1,4.4,6.3,0.4,5.4,4.7,-0.5,1.3,0.4,-0.7,1.0,3.6,2.3,3.3,0.9,2.8,7.4,3.7,,,,,,,,,,,,,,,,,,,,,,,,
AUT,122,Austria,Rate,GDP deflator Index growth rate,6.5,6.2,7.6,8.0,9.5,6.5,5.6,5.2,6.0,4.1,5.6,6.6,5.3,3.7,4.6,3.1,2.7,2.1,6.1,3.0,3.0,3.6,3.5,2.8,2.5,1.8,1.0,1.3,0.4,0.3,1.4,1.9,1.1,1.3,1.7,2.5,1.9,2.2,2.0,1.9,0.9,1.8,2.1,1.6,2.2,2.3,1.8,0.9,1.7,1.7,1.1,1.9,4.7,7.6,,,,,,,,,,,,,,,,,,,,,,,,
