Country,Category,DateTime,Close,Frequency,HistoricalDataSymbol,LastUpdate
United States,Inflation Rate,2006-01-31T00:00:00,4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2006-02-28T00:00:00,3.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2006-03-31T00:00:00,3.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2006-04-30T00:00:00,3.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2006-05-31T00:00:00,4.2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2006-06-30T00:00:00,4.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2006-07-31T00:00:00,4.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2006-08-31T00:00:00,3.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2006-09-30T00:00:00,2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2006-10-31T00:00:00,1.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2006-11-30T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2006-12-31T00:00:00,2.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2007-01-31T00:00:00,2.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2007-02-28T00:00:00,2.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2007-03-31T00:00:00,2.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2007-04-30T00:00:00,2.6,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2007-05-31T00:00:00,2.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2007-06-30T00:00:00,2.7,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2007-07-31T00:00:00,2.4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2007-08-31T00:00:00,2,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2007-09-30T00:00:00,2.8,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2007-10-31T00:00:00,3.5,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2007-11-30T00:00:00,4.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2007-12-31T00:00:00,4.1,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2008-01-31T00:00:00,4.3,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2008-02-29T00:00:00,4,Monthly,CPI YOY,2015-02-26T15:56:00
United States,Inflation Rate,2008-03-31T00:00:00,4,Monthly,CPI YOY,2015-02-26T15:56:00
