Date, Open, High, Low, Close
11/1/2024,5723.22,5772.52,5723.22,5728.8
10/31/2024,5775.34,5775.34,5702.86,5705.45
10/30/2024,5832.65,5850.94,5811.28,5813.67
10/29/2024,5819.68,5847.19,5802.17,5832.92
10/28/2024,5833.93,5842.92,5823.08,5823.52
10/25/2024,5826.75,5862.82,5799.98,5808.12
10/24/2024,5817.8,5817.8,5784.92,5809.86
10/23/2024,5834.5,5834.85,5762.41,5797.42
10/22/2024,5832.7,5863.04,5821.17,5851.2
10/21/2024,5857.82,5866.92,5824.79,5853.98
10/18/2024,5859.43,5872.17,5846.11,5864.67
10/17/2024,5875.62,5878.46,5840.25,5841.47
10/16/2024,5816.58,5846.52,5808.34,5842.47
10/15/2024,5866.74,5870.36,5804.48,5815.26
10/14/2024,5829.81,5871.41,5829.57,5859.85
10/11/2024,5775.09,5822.13,5775.09,5815.03
10/10/2024,5778.36,5795.03,5764.76,5780.05
10/9/2024,5751.8,5796.8,5745.02,5792.04
10/8/2024,5719.14,5757.6,5714.56,5751.13
10/7/2024,5737.8,5739.34,5686.85,5695.94
10/4/2024,5737.48,5753.21,5702.83,5751.07
10/3/2024,5698.19,5718.78,5677.37,5699.94
10/2/2024,5698.14,5719.63,5674,5709.54
10/1/2024,5757.73,5757.73,5681.28,5708.75
9/30/2024,5726.52,5765.14,5703.53,5762.48
9/27/2024,5755.36,5763.78,5727.34,5738.17
9/26/2024,5762.22,5767.37,5721.01,5745.37
9/25/2024,5733.65,5741.03,5712.06,5722.26
9/24/2024,5727.66,5735.32,5698.99,5732.93
9/23/2024,5711.9,5725.36,5704.22,5718.57
9/20/2024,5709.64,5715.14,5674.49,5702.55
9/19/2024,5702.63,5733.57,5686.42,5713.64
9/18/2024,5641.68,5689.75,5615.08,5618.26
9/17/2024,5655.51,5670.81,5614.05,5634.58
9/16/2024,5615.21,5636.05,5604.53,5633.09
9/13/2024,5603.34,5636.27,5601.65,5626.02
9/12/2024,5557.48,5600.71,5535.5,5595.76
9/11/2024,5496.42,5560.41,5406.96,5554.13
9/10/2024,5490.51,5497.91,5441.72,5495.52
9/9/2024,5442.07,5484.2,5434.49,5471.05
9/6/2024,5507.33,5522.47,5402.62,5408.42
9/5/2024,5520.08,5546.3,5480.54,5503.41
9/4/2024,5506.68,5552.99,5503.66,5520.07
9/3/2024,5623.89,5623.89,5504.33,5528.93
8/30/2024,5612.74,5651.37,5581.79,5648.4
8/29/2024,5607.3,5646.95,5583.71,5591.96
8/28/2024,5624.51,5627.03,5560.95,5592.18
8/27/2024,5602.89,5631.18,5593.48,5625.8
8/26/2024,5639.66,5651.62,5602.34,5616.84
8/23/2024,5602.49,5641.82,5585.16,5634.61
8/22/2024,5637.77,5643.22,5560.95,5570.64
8/21/2024,5603.09,5632.68,5591.57,5620.85
8/20/2024,5602.88,5620.51,5585.5,5597.12
8/19/2024,5557.23,5608.3,5550.74,5608.25
8/16/2024,5530.5,5561.98,5525.17,5554.25
8/15/2024,5501.13,5546.23,5501.13,5543.22
8/14/2024,5442.36,5463.22,5415.91,5455.21
8/13/2024,5376.98,5436.5,5376.98,5434.43
